bd,wl,umax,,
0.2,0.1,2.385964014,-0.753892,132%
0.2,0.2,4.753356042,2.36774,50%
0.2,0.3,6.948076866,5.58562,20%
0.3,0.1,2.228155708,-0.574347,126%
0.3,0.2,4.432483459,2.43773,45%
0.3,0.3,6.591078158,5.546055,16%
0.4,0.1,2.180978915,-0.38231,118%
0.4,0.2,4.284864212,2.520212,41%
0.4,0.3,6.363690503,5.518982,13%
0.5,0.1,2.154904886,-0.177781,108%
0.5,0.2,4.224365331,2.615186,38%
0.5,0.3,6.249508628,5.504401,12%
0.6,0.1,2.134572477,0.03924,98%
0.6,0.2,4.190883071,2.722652,35%
0.6,0.3,6.193866096,5.502312,11%
0.7,0.1,2.115264326,0.268753,87%
0.7,0.2,4.163968873,2.84261,32%
0.7,0.3,6.159424286,5.512715,10%
0.8,0.1,2.095677272,0.510758,76%
0.8,0.2,4.137503408,2.97506,28%
0.8,0.3,6.130878085,5.53561,10%
0.9,0.1,2.07513895,0.765255,63%
0.9,0.2,4.109560857,3.120002,24%
0.9,0.3,6.102378812,5.570997,9%
1,0.1,2.054244203,1.032244,50%
1,0.2,4.07980532,3.277436,20%
1,0.3,6.071293515,5.618876,7%
1,0.1,2.053324623,1.032244,50%
1,0.2,4.078164093,3.277436,20%
1,0.3,6.068815777,5.618876,7%
1,0.4,8.025122488,8.056564,0%
1,0.5,9.951383328,10.5905,-6%
1,0.6,11.85313201,13.220684,-12%
1,0.7,13.73771374,15.947116,-16%
1,0.8,15.61253944,18.769796,-20%
1,0.9,17.48286831,21.688724,-24%
1,1,19.35320135,24.7039,-28%
1.1,0.1,2.032612677,1.311725,35%
1.1,0.2,4.047101068,3.447362,15%
1.1,0.3,6.035963769,5.679247,6%
1.1,0.4,7.994374743,8.00738,0%
1.1,0.5,9.924126304,10.431761,-5%
1.1,0.6,11.82749167,12.95239,-10%
1.1,0.7,13.71175378,15.569267,-14%
1.1,0.8,15.58270033,18.282392,-17%
1.1,0.9,17.44619289,21.091765,-21%
1.1,1,19.30830046,23.997386,-24%
1.2,0.1,2.012650742,1.603698,20%
1.2,0.2,4.015744248,3.62978,10%
1.2,0.3,6.000614797,5.75211,4%
1.2,0.4,7.961386844,7.970688,0%
1.2,0.5,9.894143962,10.285514,-4%
1.2,0.6,11.80245511,12.696588,-8%
1.2,0.7,13.68815499,15.20391,-11%
1.2,0.8,15.55796801,17.80748,-14%
1.2,0.9,17.41787699,20.507298,-18%
1.2,1,19.27350038,23.303364,-21%
1.3,0.1,1.993430161,1.908163,4%
1.3,0.2,3.985182903,3.82469,4%
1.3,0.3,5.964525986,5.837465,2%
1.3,0.4,7.925277736,7.946488,0%
1.3,0.5,9.86238402,10.151759,-3%
1.3,0.6,11.77393532,12.453278,-6%
1.3,0.7,13.66409174,14.851045,-9%
1.3,0.8,15.53550363,17.34506,-12%
1.3,0.9,17.39386009,19.935323,-15%
1.3,1,19.24509124,22.621834,-18%
1.4,0.1,1.975734128,2.22512,-13%
1.4,0.2,3.95523856,4.032092,-2%
1.4,0.3,5.928527313,5.935312,0%
1.4,0.4,7.887473486,7.93478,-1%
1.4,0.5,9.827306431,10.030496,-2%
1.4,0.6,11.74397309,12.22246,-4%
1.4,0.7,13.63725129,14.510672,-6%
1.4,0.8,15.5120766,16.895132,-9%
1.4,0.9,17.37129263,19.37584,-12%
1.4,1,19.22013762,21.952796,-14%
1.5,0.1,1.959402303,2.554569,-30%
1.5,0.2,3.926599138,4.251986,-8%
1.5,0.3,5.89298815,6.045651,-3%
1.5,0.4,7.849103233,7.935564,-1%
1.5,0.5,9.789683812,9.921725,-1%
1.5,0.6,11.71067604,12.004134,-3%
1.5,0.7,13.60912604,14.182791,-4%
1.5,0.8,15.48666286,16.457696,-6%
